experiment,model,features,loss_type,alpha,precision,recall,f1,auc_roc,auc_pr,confusion_matrix,tn,fp,fn,tp,training_time,best_val_f1,epochs_trained
graphsage_engineered_focal,graphsage,engineered,Focal,0.8841908043935209,0.7552742616033755,0.4387254901960784,0.5550387596899224,0.8376016954866851,0.5276602875554395,"[[8375, 58], [229, 179]]",8375,58,229,179,5.637003421783447,0.77822257806245,156
graphsage_baseline_focal,graphsage,baseline,Focal,0.8841908043935209,0.8481675392670157,0.39705882352941174,0.5409015025041736,0.8337472069344755,0.5158361976932518,"[[8404, 29], [246, 162]]",8404,29,246,162,4.539196014404297,0.8003182179793158,126
graphsage_baseline_ce,graphsage,baseline,CE,,0.8594594594594595,0.3897058823529412,0.5362563237774031,0.8341038241455718,0.5298622001191671,"[[8407, 26], [249, 159]]",8407,26,249,159,4.493310451507568,0.8006644518272426,121
graphsage_engineered_ce,graphsage,engineered,CE,,0.8698224852071006,0.3602941176470588,0.5095320623916811,0.8091641613363002,0.5012953619099118,"[[8411, 22], [261, 147]]",8411,22,261,147,3.9587976932525635,0.7993311036789298,106
gcn_engineered_focal,gcn,engineered,Focal,0.8841908043935209,0.5562913907284768,0.4117647058823529,0.4732394366197183,0.8380298105249452,0.48459285284677783,"[[8299, 134], [240, 168]]",8299,134,240,168,3.9057788848876953,0.7555205047318612,141
gcn_engineered_ce,gcn,engineered,CE,,0.6329113924050633,0.36764705882352944,0.46511627906976744,0.8465275888607549,0.424461584124357,"[[8346, 87], [258, 150]]",8346,87,258,150,4.211409091949463,0.7818791946308725,151
gat_engineered_focal,gat,engineered,Focal,0.8841908043935209,0.48787878787878786,0.3946078431372549,0.4363143631436314,0.8096550549545088,0.37746686012933556,"[[8264, 169], [247, 161]]",8264,169,247,161,7.687095880508423,0.5947242206235012,131
gat_engineered_ce,gat,engineered,CE,,0.4067796610169492,0.35294117647058826,0.3779527559055118,0.797907031898494,0.3187689285817342,"[[8223, 210], [264, 144]]",8223,210,264,144,3.6909360885620117,0.5991949396204715,61
gat_baseline_ce,gat,baseline,CE,,0.44256756756756754,0.32107843137254904,0.3721590909090909,0.8104624572466244,0.3136475189343136,"[[8268, 165], [277, 131]]",8268,165,277,131,8.649829387664795,0.5360443622920518,146
gat_baseline_focal,gat,baseline,Focal,0.8841908043935209,0.3080459770114943,0.3284313725490196,0.31791221826809013,0.7849679596729005,0.19437690238645922,"[[8132, 301], [274, 134]]",8132,301,274,134,5.972254991531372,0.49353569421023047,101
